1;Sophia;21695;Jacob;20153
2;Isabella;19745;Mason;19396
3;Emma;18674;William;17151
4;Olivia;17169;Jayden;16861
5;Ava;15383;Noah;16719
6;Emily;14164;Michael;16598
7;Abigail;13149;Ethan;16567
8;Madison;12298;Alexander;15591
9;Mia;11451;Aiden;15389
10;Chloe;10917;Daniel;15138
11;Elizabeth;9972;Anthony;14181
12;Ella;9501;Matthew;14051
13;Addison;9246;Elijah;13817
14;Natalie;8593;Joshua;13601
15;Lily;8112;Liam;13347
16;Grace;7560;Andrew;13152
17;Samantha;7330;James;13133
18;Avery;7303;David;13098
19;Sofia;7285;Benjamin;12942
20;Aubrey;7135;Logan;12913
21;Brooklyn;7115;Christopher;12885
22;Lillian;6857;Joseph;12798
23;Victoria;6832;Jackson;12277
24;Evelyn;6670;Gabriel;12226
25;Hannah;6497;Ryan;11424
26;Alexis;6482;Samuel;11198
27;Charlotte;6365;John;10934
28;Zoey;6354;Nathan;10421
29;Leah;6337;Lucas;10324
30;Amelia;6307;Christian;10228
31;Zoe;6234;Jonathan;10145
32;Hailey;6232;Caleb;9915
33;Layla;6048;Dylan;9701
34;Gabriella;6040;Landon;9700
35;Nevaeh;6030;Isaac;9508
36;Kaylee;5999;Gavin;8971
37;Alyssa;5962;Brayden;8962
38;Anna;5601;Tyler;8759
39;Sarah;5472;Luke;8636
40;Allison;5426;Evan;8584
41;Savannah;5406;Carter;8549
42;Ashley;5368;Nicholas;8517
43;Audrey;5183;Isaiah;8411
44;Taylor;5157;Owen;8281
45;Brianna;5156;Jack;8118
46;Aaliyah;5082;Jordan;8008
47;Riley;5002;Brandon;7764
48;Camila;4956;Wyatt;7626
49;Khloe;4918;Julian;7558
50;Claire;4871;Aaron;7555
51;Sophie;4690;Jeremiah;7510
52;Arianna;4661;Angel;7491
53;Peyton;4644;Cameron;7448
54;Harper;4636;Connor;7365
55;Alexa;4478;Hunter;7295
56;Makayla;4415;Adrian;7291
57;Julia;4317;Henry;7166
58;Kylie;4317;Eli;7146
59;Kayla;4291;Justin;7061
60;Bella;4236;Austin;6979
61;Katherine;4159;Robert;6904
62;Lauren;4076;Charles;6898
63;Gianna;4041;Thomas;6853
64;Maya;3977;Zachary;6737
65;Sydney;3942;Jose;6730
66;Serenity;3822;Levi;6562
67;Kimberly;3782;Kevin;6529
68;Mackenzie;3765;Sebastian;6502
69;Autumn;3740;Chase;6146
70;Jocelyn;3711;Ayden;6085
71;Faith;3676;Jason;5797
72;Lucy;3672;Ian;5577
73;Stella;3667;Blake;5572
74;Jasmine;3661;Colton;5556
75;Morgan;3640;Bentley;5535
76;Alexandra;3600;Dominic;5392
77;Trinity;3591;Xavier;5390
78;Molly;3588;Oliver;5372
79;Madelyn;3587;Parker;5249
80;Scarlett;3540;Josiah;5207
81;Andrea;3492;Adam;5167
82;Genesis;3487;Cooper;5140
83;Eva;3436;Brody;5039
84;Ariana;3427;Nathaniel;4906
85;Madeline;3403;Carson;4894
86;Brooke;3354;Jaxon;4700
87;Caroline;3341;Tristan;4681
88;Bailey;3283;Luis;4671
89;Melanie;3272;Juan;4660
90;Kennedy;3225;Hayden;4552
91;Destiny;3222;Carlos;4158
92;Maria;3183;Jesus;4140
93;Naomi;3150;Nolan;4140
94;London;3145;Cole;4114
95;Payton;3131;Alex;3999
96;Lydia;3051;Max;3928
97;Ellie;3045;Grayson;3907
98;Mariah;2956;Bryson;3902
99;Aubree;2915;Diego;3806
100;Kaitlyn;2893;Jaden;3777
